title,tags_x,genre,popularity,vote_count,vote_average
same kind of different as me,"michael carney greg kinnear, rené zellweger, djimon hounsou, jon voight, olivia holt dramas, faith & spiritu a wealthi coupl whose marriag is on the rock befriend a local homeless man who chang their perspect in thi inspir true story.",Drama,16.292,205.0,average
school of rock,"richard linklat jack black, joan cusack, mike white, sarah silverman, lee wilkof, kate mcgregor-stewart, adam pascal, suzzann douglas, miranda cosgrove, kevin alexand clark, joey gaydo jr., robert tsai, veronica afflerbach, jordan-clair green comedies, music & music musician dewey finn get a job as a fourth-grad substitut teacher, where he secretli begin teach hi student the finer point of rock 'n' roll.","Comedy, Music, Family",23.525,4555.0,average
tears of the sun,"antoin fuqua bruce willis, monica bellucci, cole hauser, eamonn walker, johnni messner, nick chinlund, charl ingram, paul francis, chad smith, tom skerritt, malick bowens, awaovieyi agi action & adventure, drama a navi seal is sent to a war-torn african jungl to rescu a doctor, onli to realiz he must also save the refuge in the physician' care.","War, Action, Drama",32.196,1731.0,average
the blue lagoon,"randal kleiser brook shields, christoph atkins, leo mckern, william daniels, elva josephson, glenn kohan, alan hopgood, gu mercurio dramas, romant movi two shipwreck children, strand for year on a desert island, fall in love as teenag and attempt to forg a life in the isol paradise.","Romance, Adventure",39.442,1420.0,below_avg
the golden child,"michael ritchi eddi murphy, j.l. reate, charl dance, charlott lewis, victor wong, randal tex cobb, jame hong, shakti chen, tau logo, tiger chung lee action & adventure, comedi a fast-talk l.a. social worker goe through a seri of trap and terror to find a kidnap tibetan child with mystic powers.","Action, Adventure, Comedy, Fantasy, Mystery",18.346,832.0,not_popular
the guns of navarone,"j. lee thompson gregori peck, david niven, anthoni quinn, stanley baker, anthoni quayle, jame darren, iren papas, gia scala, jame robertson justice, richard harri action & adventure, classic movi dure world war ii, british forc launch an attack design to take out the massiv nazi cannon that guard a critic sea channel.","War, Action",23.209,567.0,popular
the interview,"evan goldberg, seth rogen jame franco, seth rogen, lizzi caplan, randal park, diana bang, timothi simons, rees alexander, jame yi action & adventure, comedi seth rogen and jame franco star in thi provoc comedi about two journalist recruit by the cia after they arrang an interview with kim jong-un.","Action, Comedy",52.761,4824.0,below_avg
the nutty professor,"tom shadyac eddi murphy, jada pinkett smith, jame coburn, larri miller, dave chappelle, john ales, patricia wilson, jamal mixon comedies, romant movi after be made fun of for hi weight, a kind and braini professor take a dose of a revolutionari formula that chang more than just hi appearance.","Fantasy, Comedy, Romance, Science Fiction",21.68,2387.0,not_popular
welcome home roscoe jenkins,"malcolm d. lee martin lawrence, jame earl jones, joy bryant, margaret avery, mike epps, mo'nique, cedric the entertainer, nicol ari parker, michael clark duncan, loui c.k. comedi r.j. travel to georgia for hi parents' 50th anniversary. but after pompous flaunt hi hollywood lifestyle, he must examin what he' become.","Comedy, Drama",17.132,208.0,not_popular
in the line of fire,"wolfgang petersen clint eastwood, john malkovich, rene russo, dylan mcdermott, gari cole, fred thompson, john mahoney, gregori alan williams, jim curley, salli hugh action & adventure, classic movi a twist yet ingeni killer torment a veteran secret servic agent who' haunt by hi failur year ago to save presid john f. kennedy.","Action, Drama, Thriller, Crime, Mystery",15.184,1164.0,average
wind river,"taylor sheridan jeremi renner, elizabeth olsen, jon bernthal, gil birmingham, kelsey asbille, tantoo cardinal, teo briones, matthew del negro, hugh dillon, julia jones, jame jordan, eric lange, martin sensmeier, mason davis, graham green dramas, independ movi a tracker with the u.s. fish and wildlif servic assist a rooki fbi agent who' investig a teen girl' murder on a remot wyom reservation.","Crime, Drama, Mystery, Thriller",34.439,4056.0,popular
he's all that,"mark water addison rae, tanner buchanan, rachael leigh cook, madison pettis, isabella crovetti, matthew lillard, peyton meyer, anni jacob, myra molloy, kourtney kardashian comedies, romant movi an influenc special in makeov bet she can transform an unpopular classmat into prom king in thi remak of the teen classic ""she' all that.""","Romance, Comedy",88.523,880.0,average
open your eyes,"maria wawreniuk, ignaci liss, michał sikorski, wojciech dolatowski, klaudia koścista, zuzanna galewicz, marta nieradkiewicz, sara celler jezierska, pola król, marcin czarnik, martyna nowakowska intern tv shows, tv dramas, tv mysteri after a tragic accident, an amnesiac teen tri to rebuild her life at a memori disord center but becom suspici of her unconvent treatment.","Drama, Thriller, Science Fiction",15.421,741.0,popular
the november man,"roger donaldson pierc brosnan, luke bracey, olga kurylenko, eliza taylor, caterina scorsone, bill smitrovich, will patton, amila terzimehic, lazar ristovski, mediha musliov action & adventur an ex-cia agent emerg from retir to protect an import witness, but he soon discov that old friend can make the most danger enemies.","Crime, Action, Thriller",22.711,1234.0,below_avg
the old ways,"christoph alend brigitt kali canales, andrea cortes, julia vera, sal lopez horror movi a report visit her birthplac in veracruz for a stori about tribal culture, onli to be kidnap by local who believ she' demon possessed.","Horror, Fantasy",14.12,224.0,popular
the water man,"david oyelowo david oyelowo, rosario dawson, lonni chavis, amiah miller, alfr molina, maria bello children & famili movies, drama desper to save hi ail mother, 11-year-old gunner run away from home on a quest to find a mythic figur rumor to have the power to cheat death.",Adventure,19.141,188.0,below_avg
the witcher: nightmare of the wolf,"han kwang il theo james, mari mcdonnell, lara pulver, graham mctavish, tom canton, david errigo jr, jennif hale, kari wahlgren, matt yang king, darryl kurylo, keith ferguson action & adventure, anim featur escap from poverti to becom a witcher, vesemir slay monster for coin and glory, but when a new menac rises, he must face the demon of hi past.","Animation, Action, Fantasy",27.313,577.0,popular
sweet girl,"brian andrew mendoza jason momoa, isabela merced, manuel garcia-rulfo, ami brenneman, adria arjona, raza jaffrey, justin bartha, lex scott davis, michael raymond-jam action & adventure, drama he lost the love of hi life to a pharmaceut company' greed. now hi daughter is without a mother, and he' without justice. for now.",Action,148.93,850.0,average
the loud house movie,"dave needham asher bishop, david tennant, michel gomez, jill talley, brian stepanek, catherin taber, liliana mumy, nika futterman, cristina pucelli, jessica dicicco, grey griffin, lara jill miller children & famili movies, comedies, music & music with hi parent and all 10 sister in tow, lincoln loud head to scotland and learn that royalti run in the famili in thi global music journey!","Animation, Family, Comedy, Music, Fantasy",112.419,109.0,popular
black island,"miguel alexandr philip froissant, alic dwyer, hann zischler, merced müller, sammi scheuritzel, lieselott voß, katharina schütz, jodi lesli ahlborn, marco wittorf, ilknur boyraz intern movies, thriller the dark secret of a seemingli peac island threaten to swallow up an orphan student when he grow close to a mysteri new teacher.",Thriller,72.072,129.0,below_avg
out of my league,"alic filippi ludovica francesconi, giusepp maggio, gaja masciale, jozef gjura, eleonora gaggero, franco ravera, elisabetta coraini, michel franco, edoardo rossi comedies, dramas, intern movi tire of swipe through the date scene with her besti in tow, a charm yet awkward woman with a rare genet disord set her sight on love.","Romance, Comedy",25.065,374.0,average
walk of shame,"steve brill elizabeth banks, jame marsden, gillian jacobs, sarah wright, ethan suplee, bill burr, ken davitian, lawrenc gilliard jr., alphonso mcauley, da'von mcdonald, john marsden, willi garson, oliv hudson, p.j. byrn comedies, independ movi after a night of boozi carousing, a local newscast find herself strand on the street of la just hour befor the job interview of a lifetime.",Comedy,22.834,1198.0,not_popular
